time_s,log_time_s,sample_time_us,log_time_us,state,lagged,pressure_pa,temperature_c,baro_altitude_rel_m,smooth_altitude_m,dalt_dt_mps,dalt_dt_z,alignment_weight
74.813713,74.817821,1196974751,1196978859,fresh,False,80651,24.74,1540.029675919268,1544.2003147728426,-60.77390255390492,-2.159556183956024,2.409556183956024
74.834389,74.839281,1196995427,1197000319,fresh,False,80648,24.75,1540.3325675705848,1542.9481080130124,-56.02998215857224,-1.9356553801164396,2.1856553801164393
74.855593,74.860755,1197016631,1197021793,fresh,False,80650,24.74,1540.1306387893835,1541.8586274268862,-48.643614315362356,-1.5870378739760207,1.8370378739760207
74.879094,74.88225,1197040132,1197043288,fresh,False,80661,24.74,1539.020102963597,1540.7867514425682,-47.32619307520508,-1.5248589902500702,1.7748589902500702
74.900653,74.903737,1197061691,1197064775,fresh,False,80673,24.74,1537.8087491830588,1539.732500184639,-40.4213589210849,-1.198968631927962,1.448968631927962
74.922056,74.925205,1197083094,1197086243,fresh,False,80673,24.74,1537.8087491830588,1539.0475330223624,-31.715645477212092,-0.7880814172103752,1.0380814172103752
74.942584,74.946635,1197103622,1197107673,fresh,False,80690,24.75,1536.092914386151,1538.4021383060158,-25.865746419942298,-0.5119812738370206,0.7619812738370206
74.988002,74.989751,1197149040,1197150789,fresh,False,80689,24.75,1536.1938377418062,1537.787479769133,-22.054719238949474,-0.3321106229470284,0.5821106229470284
75.00866,75.011243,1197169698,1197172281,fresh,False,80699,24.75,1535.1846497556792,1537.2518057489594,-21.56975823239918,-0.3092217145866996,0.5592217145866996
75.029324,75.032693,1197190362,1197193731,fresh,False,80696,24.75,1535.4873955188941,1536.8962265569717,-15.756888165495184,-0.03486924402767547,0.28486924402767544
75.049867,75.054189,1197210905,1197215227,fresh,False,80703,24.75,1534.7810029134137,1536.6021615982158,-13.983465343037096,0.04883173794632424,0.2988317379463242
75.070443,75.075633,1197231481,1197236671,fresh,False,80700,24.75,1535.0837365263726,1536.3212623183936,-11.867292535374872,0.1487096349627253,0.39870963496272527
75.091941,75.097123,1197252979,1197258161,fresh,False,80702,24.75,1534.8819131052596,1536.1062214752244,-12.24544702104322,0.1308617188383339,0.38086171883833386
